"","gbifID","abstract","accessRights","accrualMethod","accrualPeriodicity","accrualPolicy","alternative","audience","available","bibliographicCitation","conformsTo","contributor","coverage","created","creator","date","dateAccepted","dateCopyrighted","dateSubmitted","description","educationLevel","extent","format","hasFormat","hasPart","hasVersion","identifier","instructionalMethod","isFormatOf","isPartOf","isReferencedBy","isReplacedBy","isRequiredBy","isVersionOf","issued","language","license","mediator","medium","modified","provenance","publisher","references","relation","replaces","requires","rights","rightsHolder","source","spatial","subject","tableOfContents","temporal","title","type","valid","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","ownerInstitutionCode","basisOfRecord","informationWithheld","dataGeneralizations","dynamicProperties","occurrenceID","catalogNumber","recordNumber","recordedBy","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","behavior","establishmentMeans","occurrenceStatus","preparations","disposition","associatedReferences","associatedSequences","associatedTaxa","otherCatalogNumbers","occurrenceRemarks","organismID","organismName","organismScope","associatedOccurrences","associatedOrganisms","previousIdentifications","organismRemarks","materialSampleID","eventID","parentEventID","fieldNumber","eventDate","eventTime","startDayOfYear","endDayOfYear","year","month","day","verbatimEventDate","habitat","samplingProtocol","samplingEffort","sampleSizeValue","sampleSizeUnit","fieldNotes","eventRemarks","locationID","higherGeographyID","higherGeography","continent","waterBody","islandGroup","island","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","footprintSpatialFit","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","georeferenceRemarks","geologicalContextID","earliestEonOrLowestEonothem","latestEonOrHighestEonothem","earliestEraOrLowestErathem","latestEraOrHighestErathem","earliestPeriodOrLowestSystem","latestPeriodOrHighestSystem","earliestEpochOrLowestSeries","latestEpochOrHighestSeries","earliestAgeOrLowestStage","latestAgeOrHighestStage","lowestBiostratigraphicZone","highestBiostratigraphicZone","lithostratigraphicTerms","group","formation","member","bed","identificationID","identificationQualifier","typeStatus","identifiedBy","dateIdentified","identificationReferences","identificationVerificationStatus","identificationRemarks","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","datasetKey","publishingCountry","lastInterpreted","elevation","elevationAccuracy","depth","depthAccuracy","distanceAboveSurface","distanceAboveSurfaceAccuracy","issue","mediaType","hasCoordinate","hasGeospatialIssues","taxonKey","acceptedTaxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","subgenusKey","speciesKey","species","genericName","acceptedScientificName","verbatimScientificName","typifiedName","protocol","lastParsed","lastCrawled","repatriated","relativeOrganismQuantity","recordedByID","identifiedByID"
"1990",897160955,NA,"",NA,NA,NA,NA,NA,NA,"NCSM 6659 - North Carolina Museum of Natural Sciences Mammals Collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C5B709FF-6BAA-4EA8-9E4F-B37CCD172F51",NA,NA,NA,NA,NA,NA,NA,NA,"EN","CC0_1_0",NA,NA,"2016-07-28T00:00:00Z",NA,NA,"http://collections.naturalsciences.org/specimenMammals.aspx?ID=6659",NA,NA,NA,"http://creativecommons.org/publicdomain/zero/1.0/","North Carolina Museum of Natural Sciences",NA,NA,NA,NA,NA,NA,"Physical Object",NA,"NCSM","","NCSM-MammalsDWC","NCSM","NCSM-Mammals","NCSM Mammals Collection","NCSM","PRESERVED_SPECIMEN","",NA,"","C5B709FF-6BAA-4EA8-9E4F-B37CCD172F51","6659","","",NA,NA,NA,"MALE","","",NA,"","","","In Collections","",NA,NA,"M-84-13","FMP Case #1266. Badly decomposed. Fresh dorsal scars through ribs (ant. - post. 88 cm.) Some data gathered from Manatee Mortality Database on internet.  Received full data set from FL FWCC 18 Dec. 2006 (in species account)","",NA,NA,NA,NA,"",NA,NA,NA,NA,"MAMM-6659","1984-02-22T00:00:00","",NA,NA,1984,2,22,"","","","",NA,NA,"","","",NA,"","NORTH_AMERICA","","","","US","Florida","Broward",NA,"Fort Lauderdale, South Fork of New River, SR 84 at concrete plant.","Received from USFWS Southeastern Manatee Salvage Program.  Necropsy report states coordinates as 26 deg 5' 40"" N  80 deg 11' 15""W.",0,NA,NA,NA,"","",26.0877,-80.1857,805,NA,NA,"",NA,"",NA,NA,"","","","DeLorme 6.0","","",NA,NA,NA,"","","","","","","",NA,"","","","","",NA,NA,NA,"","","","",NA,"","","","",NA,NA,NA,NA,NA,NA,"Trichechus manatus Linnaeus, 1758",NA,NA,NA,"",NA,NA,"","Animalia","Chordata","Mammalia","Sirenia","Trichechidae","Trichechus",NA,"manatus","","SPECIES","","West Indian Manatee","","ACCEPTED",NA,"","ea9f5b0b-ad97-45ea-935a-ba2784c80cbb","US","2020-06-08T18:12:45.271Z",NA,NA,NA,NA,NA,NA,"","","true","false",2435296,2435296,1,44,359,802,9463,2435291,NA,2435296,"Trichechus manatus","Trichechus","Trichechus manatus Linnaeus, 1758","Trichechus manatus",NA,"DWC_ARCHIVE","2020-06-08T18:12:45.271Z","2020-05-28T23:19:48.270Z","false",NA,"",""
"1991",897160954,NA,"",NA,NA,NA,NA,NA,NA,"NCSM 6658 - North Carolina Museum of Natural Sciences Mammals Collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CC09C715-967A-4711-9CE9-757264193ADD",NA,NA,NA,NA,NA,NA,NA,NA,"EN","CC0_1_0",NA,NA,"2016-07-28T00:00:00Z",NA,NA,"http://collections.naturalsciences.org/specimenMammals.aspx?ID=6658",NA,NA,NA,"http://creativecommons.org/publicdomain/zero/1.0/","North Carolina Museum of Natural Sciences",NA,NA,NA,NA,NA,NA,"Physical Object",NA,"NCSM","","NCSM-MammalsDWC","NCSM","NCSM-Mammals","NCSM Mammals Collection","NCSM","PRESERVED_SPECIMEN","",NA,"","CC09C715-967A-4711-9CE9-757264193ADD","6658","","",NA,NA,NA,"MALE","","",NA,"","","","In Collections","",NA,NA,"M-83-24","FMP Case #1115.  Badly decomposed. Probably suffocated in long culvert.  Partial skeleton.  Some data gathered from Manatee Mortality Database on internet.  Received full data set from FL FWCC on 18 Dec. 2006 (in species account)","",NA,NA,NA,NA,"",NA,NA,NA,NA,"MAMM-6658","1983-06-10T00:00:00","",NA,NA,1983,6,10,"","","","",NA,NA,"","","",NA,"","NORTH_AMERICA","","","","US","Florida","Dade",NA,"Miami Airport (East end), Tamiami Canal parallel to Le Jeune Rd.","Received from USFWS Southeastern Manatee Salvage Program.",NA,NA,NA,NA,"","",25.7783,-80.2725,NA,NA,NA,"",NA,"",NA,NA,"","","","","","",NA,NA,NA,"","","","","","","",NA,"","","","","",NA,NA,NA,"","","","",NA,"","","","",NA,NA,NA,NA,NA,NA,"Trichechus manatus Linnaeus, 1758",NA,NA,NA,"",NA,NA,"","Animalia","Chordata","Mammalia","Sirenia","Trichechidae","Trichechus",NA,"manatus","","SPECIES","","West Indian Manatee","","ACCEPTED",NA,"","ea9f5b0b-ad97-45ea-935a-ba2784c80cbb","US","2020-06-08T18:12:45.271Z",NA,NA,NA,NA,NA,NA,"","","true","false",2435296,2435296,1,44,359,802,9463,2435291,NA,2435296,"Trichechus manatus","Trichechus","Trichechus manatus Linnaeus, 1758","Trichechus manatus",NA,"DWC_ARCHIVE","2020-06-08T18:12:45.271Z","2020-05-28T23:19:48.270Z","false",NA,"",""
"1992",897160935,NA,"",NA,NA,NA,NA,NA,NA,"NCSM 6636 - North Carolina Museum of Natural Sciences Mammals Collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60320968-CCB2-4BAA-81CA-79CE669B18FE",NA,NA,NA,NA,NA,NA,NA,NA,"EN","CC0_1_0",NA,NA,"2016-07-28T00:00:00Z",NA,NA,"http://collections.naturalsciences.org/specimenMammals.aspx?ID=6636",NA,NA,NA,"http://creativecommons.org/publicdomain/zero/1.0/","North Carolina Museum of Natural Sciences",NA,NA,NA,NA,NA,NA,"Physical Object",NA,"NCSM","","NCSM-MammalsDWC","NCSM","NCSM-Mammals","NCSM Mammals Collection","NCSM","PRESERVED_SPECIMEN","",NA,"","60320968-CCB2-4BAA-81CA-79CE669B18FE","6636","","",NA,NA,NA,"MALE","","",NA,"","","","In Collections","",NA,NA,"M-387","Partial skeleton.  FMP Case #1318.  Fresh when collected.  Necropsy data available in USFWS Manatee Salvage Program data sheet.","",NA,NA,NA,NA,"",NA,NA,NA,NA,"MAMM-6636","1984-05-05T00:00:00","",NA,NA,1984,5,5,"","","","",NA,NA,"","","",NA,"","NORTH_AMERICA","","","","US","Florida","Volusia",NA,"Daytona Beach, Halifax River, in canal just E of JCT. Orange Ave. and Beach St.","Received from USFWS Southeastern Manatee Salvage Program.",0,NA,NA,NA,"","",29.2089,-81.0169,NA,NA,NA,"",NA,"",NA,NA,"","","","GPS","","",NA,NA,NA,"","","","","","","",NA,"","","","","",NA,NA,NA,"","","","",NA,"","","","",NA,NA,NA,NA,NA,NA,"Trichechus manatus Linnaeus, 1758",NA,NA,NA,"",NA,NA,"","Animalia","Chordata","Mammalia","Sirenia","Trichechidae","Trichechus",NA,"manatus","","SPECIES","","West Indian Manatee","","ACCEPTED",NA,"","ea9f5b0b-ad97-45ea-935a-ba2784c80cbb","US","2020-06-08T18:12:45.252Z",NA,NA,NA,NA,NA,NA,"","","true","false",2435296,2435296,1,44,359,802,9463,2435291,NA,2435296,"Trichechus manatus","Trichechus","Trichechus manatus Linnaeus, 1758","Trichechus manatus",NA,"DWC_ARCHIVE","2020-06-08T18:12:45.252Z","2020-05-28T23:19:48.270Z","false",NA,"",""
"1993",897160651,NA,"",NA,NA,NA,NA,NA,NA,"NCSM 6211 - North Carolina Museum of Natural Sciences Mammals Collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E5A6AEC1-CBE2-4D1E-9FF0-C980D568CD89",NA,NA,NA,NA,NA,NA,NA,NA,"EN","CC0_1_0",NA,NA,"2016-07-28T00:00:00Z",NA,NA,"http://collections.naturalsciences.org/specimenMammals.aspx?ID=6211",NA,NA,NA,"http://creativecommons.org/publicdomain/zero/1.0/","North Carolina Museum of Natural Sciences",NA,NA,NA,NA,NA,NA,"Physical Object",NA,"NCSM","","NCSM-MammalsDWC","NCSM","NCSM-Mammals","NCSM Mammals Collection","NCSM","PRESERVED_SPECIMEN","",NA,"","E5A6AEC1-CBE2-4D1E-9FF0-C980D568CD89","6211","","",NA,NA,NA,"MALE","","",NA,"","","","In Collections","",NA,NA,"P90-1-1","Source: MRS and field notes on file.  Partial skeleton.  JC Beane estimated a weight of 400-600lbs upon collection.  Very little deterioration of flesh when collected.  Propeller wounds on back and tail.","",NA,NA,NA,NA,"",NA,NA,NA,NA,"MAMM-6211","1990-01-24T00:00:00","",NA,NA,1990,1,24,"","","","",NA,NA,"","","",NA,"","NORTH_AMERICA","","","","US","North Carolina","Hyde",NA,"Ocracoke Island, ca. 2 airmi NNE Ocracoke, Pamlico Sound off Gap Point","Lat/Long taken 2 mi NNE of pop center of Ocracoke, 0.38 mi ENE from Howard Reef.",0,NA,NA,NA,"","",35.1414,-75.9678,1609,NA,NA,"",NA,"",NA,NA,"","","","DeLorme 6.0","","",NA,NA,NA,"","","","","","","",NA,"","","","","",NA,NA,NA,"","","","",NA,"","","","",NA,NA,NA,NA,NA,NA,"Trichechus manatus Linnaeus, 1758",NA,NA,NA,"",NA,NA,"","Animalia","Chordata","Mammalia","Sirenia","Trichechidae","Trichechus",NA,"manatus","","SPECIES","","West Indian Manatee","","ACCEPTED",NA,"","ea9f5b0b-ad97-45ea-935a-ba2784c80cbb","US","2020-06-08T18:12:44.708Z",NA,NA,NA,NA,NA,NA,"","","true","false",2435296,2435296,1,44,359,802,9463,2435291,NA,2435296,"Trichechus manatus","Trichechus","Trichechus manatus Linnaeus, 1758","Trichechus manatus",NA,"DWC_ARCHIVE","2020-06-08T18:12:44.708Z","2020-05-28T23:19:48.270Z","false",NA,"",""
"1994",897160071,NA,"",NA,NA,NA,NA,NA,NA,"NCSM 5450 - North Carolina Museum of Natural Sciences Mammals Collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A2CD2511-3126-4032-A0BD-55143AC3B8FF",NA,NA,NA,NA,NA,NA,NA,NA,"EN","CC0_1_0",NA,NA,"2016-07-28T00:00:00Z",NA,NA,"http://collections.naturalsciences.org/specimenMammals.aspx?ID=5450",NA,NA,NA,"http://creativecommons.org/publicdomain/zero/1.0/","North Carolina Museum of Natural Sciences",NA,NA,NA,NA,NA,NA,"Physical Object",NA,"NCSM","","NCSM-MammalsDWC","NCSM","NCSM-Mammals","NCSM Mammals Collection","NCSM","PRESERVED_SPECIMEN","",NA,"","A2CD2511-3126-4032-A0BD-55143AC3B8FF","5450","","",NA,NA,NA,"FEMALE","","",NA,"","","","In Collections","",NA,NA,"M-84-27","Skull in pieces.  FMP Case #1387.  Badly decomposed when collected.  Necropsy data available in USFWS Manatee Salvage Program data sheet.","",NA,NA,NA,NA,"",NA,NA,NA,NA,"MAMM-5450","1984-08-14T00:00:00","",NA,NA,1984,8,14,"","","","",NA,NA,"","","",NA,"","NORTH_AMERICA","","","","US","Florida","Glades",NA,"near Lakeport, 100 yards N of Harney Pond Canal","Received from USFWS Southeastern Manatee Salvage Program.",3,NA,NA,NA,"","",26.9833,-81.0667,201,NA,NA,"",NA,"",NA,NA,"","","","GPS","","",NA,NA,NA,"","","","","","","",NA,"","","","","",NA,NA,NA,"","","","",NA,"","","","",NA,NA,NA,NA,NA,NA,"Trichechus manatus Linnaeus, 1758",NA,NA,NA,"",NA,NA,"","Animalia","Chordata","Mammalia","Sirenia","Trichechidae","Trichechus",NA,"manatus","","SPECIES","","West Indian Manatee","","ACCEPTED",NA,"","ea9f5b0b-ad97-45ea-935a-ba2784c80cbb","US","2020-06-08T18:12:43.992Z",NA,NA,NA,NA,NA,NA,"","","true","false",2435296,2435296,1,44,359,802,9463,2435291,NA,2435296,"Trichechus manatus","Trichechus","Trichechus manatus Linnaeus, 1758","Trichechus manatus",NA,"DWC_ARCHIVE","2020-06-08T18:12:43.992Z","2020-05-28T23:19:48.270Z","false",NA,"",""
"1995",897160070,NA,"",NA,NA,NA,NA,NA,NA,"NCSM 5449 - North Carolina Museum of Natural Sciences Mammals Collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"722DDA5D-B57C-432B-A314-69D2786D801D",NA,NA,NA,NA,NA,NA,NA,NA,"EN","CC0_1_0",NA,NA,"2016-07-28T00:00:00Z",NA,NA,"http://collections.naturalsciences.org/specimenMammals.aspx?ID=5449",NA,NA,NA,"http://creativecommons.org/publicdomain/zero/1.0/","North Carolina Museum of Natural Sciences",NA,NA,NA,NA,NA,NA,"Physical Object",NA,"NCSM","","NCSM-MammalsDWC","NCSM","NCSM-Mammals","NCSM Mammals Collection","NCSM","PRESERVED_SPECIMEN","",NA,"","722DDA5D-B57C-432B-A314-69D2786D801D","5449","","",NA,NA,NA,"MALE","","",NA,"","","","In Collections","",NA,NA,"M-84-18","Ribs and flippers missing prior to collection.  FMP Case #1303.  Badly decomposed when collected.  Necropsy data available in USFWS Manatee Salvage Program data sheet.","",NA,NA,NA,NA,"",NA,NA,NA,NA,"MAMM-5449","1984-04-19T00:00:00","",NA,NA,1984,4,19,"","","","",NA,NA,"","","",NA,"","NORTH_AMERICA","","","","US","Florida","Lee",NA,"Caloosahatchee River, near mouth of Whiskey Creek between markers 61 and 62","Received from USFWS Southeastern Manatee Salvage Program. Lat/long is 1.32 mi N of Whiskey Creek inlet.",0,NA,NA,NA,"","",26.5972,-81.9028,1609,NA,NA,"",NA,"",NA,NA,"","","","GPS","","",NA,NA,NA,"","","","","","","",NA,"","","","","",NA,NA,NA,"","","","",NA,"","","","",NA,NA,NA,NA,NA,NA,"Trichechus manatus Linnaeus, 1758",NA,NA,NA,"",NA,NA,"","Animalia","Chordata","Mammalia","Sirenia","Trichechidae","Trichechus",NA,"manatus","","SPECIES","","West Indian Manatee","","ACCEPTED",NA,"","ea9f5b0b-ad97-45ea-935a-ba2784c80cbb","US","2020-06-08T18:12:43.992Z",NA,NA,NA,NA,NA,NA,"","","true","false",2435296,2435296,1,44,359,802,9463,2435291,NA,2435296,"Trichechus manatus","Trichechus","Trichechus manatus Linnaeus, 1758","Trichechus manatus",NA,"DWC_ARCHIVE","2020-06-08T18:12:43.992Z","2020-05-28T23:19:48.270Z","false",NA,"",""
"1996",897160069,NA,"",NA,NA,NA,NA,NA,NA,"NCSM 5448 - North Carolina Museum of Natural Sciences Mammals Collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39CEB97E-FC01-406B-AFCB-0419A593FE5A",NA,NA,NA,NA,NA,NA,NA,NA,"EN","CC0_1_0",NA,NA,"2016-07-28T00:00:00Z",NA,NA,"http://collections.naturalsciences.org/specimenMammals.aspx?ID=5448",NA,NA,NA,"http://creativecommons.org/publicdomain/zero/1.0/","North Carolina Museum of Natural Sciences",NA,NA,NA,NA,NA,NA,"Physical Object",NA,"NCSM","","NCSM-MammalsDWC","NCSM","NCSM-Mammals","NCSM Mammals Collection","NCSM","PRESERVED_SPECIMEN","",NA,"","39CEB97E-FC01-406B-AFCB-0419A593FE5A","5448","","",NA,NA,NA,"FEMALE","","",NA,"","","","In Collections","",NA,NA,"M-84-6","Skull in pieces.  Moderately decomposed when collected.  Necropsy data available in USFWS Manatee Salvage Program data sheet.","",NA,NA,NA,NA,"",NA,NA,NA,NA,"MAMM-5448","1984-01-20T00:00:00","",NA,NA,1984,1,20,"","","","",NA,NA,"","","",NA,"","NORTH_AMERICA","","","","US","Florida","Glades",NA,"Canal C-20 between Clewiston and Moorhaven","Received from USFWS Southeastern Manatee Salvage Program.",3,NA,NA,NA,"","",26.8167,-81.05,NA,NA,NA,"",NA,"",NA,NA,"","","","GPS","","",NA,NA,NA,"","","","","","","",NA,"","","","","",NA,NA,NA,"","","","",NA,"","","","",NA,NA,NA,NA,NA,NA,"Trichechus manatus Linnaeus, 1758",NA,NA,NA,"",NA,NA,"","Animalia","Chordata","Mammalia","Sirenia","Trichechidae","Trichechus",NA,"manatus","","SPECIES","","West Indian Manatee","","ACCEPTED",NA,"","ea9f5b0b-ad97-45ea-935a-ba2784c80cbb","US","2020-06-08T18:12:43.968Z",NA,NA,NA,NA,NA,NA,"","","true","false",2435296,2435296,1,44,359,802,9463,2435291,NA,2435296,"Trichechus manatus","Trichechus","Trichechus manatus Linnaeus, 1758","Trichechus manatus",NA,"DWC_ARCHIVE","2020-06-08T18:12:43.968Z","2020-05-28T23:19:48.270Z","false",NA,"",""
"1997",897160068,NA,"",NA,NA,NA,NA,NA,NA,"NCSM 5447 - North Carolina Museum of Natural Sciences Mammals Collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"311B3CB6-40C3-4AE9-85EF-EE2A31138B8C",NA,NA,NA,NA,NA,NA,NA,NA,"EN","CC0_1_0",NA,NA,"2016-07-28T00:00:00Z",NA,NA,"http://collections.naturalsciences.org/specimenMammals.aspx?ID=5447",NA,NA,NA,"http://creativecommons.org/publicdomain/zero/1.0/","North Carolina Museum of Natural Sciences",NA,NA,NA,NA,NA,NA,"Physical Object",NA,"NCSM","","NCSM-MammalsDWC","NCSM","NCSM-Mammals","NCSM Mammals Collection","NCSM","PRESERVED_SPECIMEN","",NA,"","311B3CB6-40C3-4AE9-85EF-EE2A31138B8C","5447","","",NA,NA,NA,"MALE","","",NA,"","","","In Collections","",NA,NA,"M-83-40","Skull in pieces.  FMP Case #1202.  Moderately decomposed when collected.  Necropsy data available in USFWS Manatee Salvage Program data sheet.","",NA,NA,NA,NA,"",NA,NA,NA,NA,"MAMM-5447","1983-12-21T00:00:00","",NA,NA,1983,12,21,"","","","",NA,NA,"","","",NA,"","NORTH_AMERICA","","","","US","Florida","Martin",NA,"St. Lucie Canal, marker 47 just downstream of locks.","Received from USFWS Southeastern Manatee Salvage Program. Orginal coord. - 27 7 0 N, 80 16 42 W.",0,NA,NA,NA,"","",27.1172,-80.2784,NA,NA,NA,"",NA,"",NA,NA,"","","","DeLorme 6.0","","",NA,NA,NA,"","","","","","","",NA,"","","","","",NA,NA,NA,"","","","",NA,"","","","",NA,NA,NA,NA,NA,NA,"Trichechus manatus Linnaeus, 1758",NA,NA,NA,"",NA,NA,"","Animalia","Chordata","Mammalia","Sirenia","Trichechidae","Trichechus",NA,"manatus","","SPECIES","","West Indian Manatee","","ACCEPTED",NA,"","ea9f5b0b-ad97-45ea-935a-ba2784c80cbb","US","2020-06-08T18:12:43.967Z",NA,NA,NA,NA,NA,NA,"","","true","false",2435296,2435296,1,44,359,802,9463,2435291,NA,2435296,"Trichechus manatus","Trichechus","Trichechus manatus Linnaeus, 1758","Trichechus manatus",NA,"DWC_ARCHIVE","2020-06-08T18:12:43.967Z","2020-05-28T23:19:48.270Z","false",NA,"",""
"1998",897160067,NA,"",NA,NA,NA,NA,NA,NA,"NCSM 5446 - North Carolina Museum of Natural Sciences Mammals Collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2B4CD298-B175-4671-9EA7-7479E832B199",NA,NA,NA,NA,NA,NA,NA,NA,"EN","CC0_1_0",NA,NA,"2016-07-28T00:00:00Z",NA,NA,"http://collections.naturalsciences.org/specimenMammals.aspx?ID=5446",NA,NA,NA,"http://creativecommons.org/publicdomain/zero/1.0/","North Carolina Museum of Natural Sciences",NA,NA,NA,NA,NA,NA,"Physical Object",NA,"NCSM","","NCSM-MammalsDWC","NCSM","NCSM-Mammals","NCSM Mammals Collection","NCSM","PRESERVED_SPECIMEN","",NA,"","2B4CD298-B175-4671-9EA7-7479E832B199","5446","","",NA,NA,NA,"MALE","","",NA,"","","","In Collections","",NA,NA,"M-83-37","Tip of rostrum damaged.  FMP Case #1178.  Badly decomposed when collected.  Necropsy data available in USFWS Manatee Salvage Program data sheet.","",NA,NA,NA,NA,"",NA,NA,NA,NA,"MAMM-5446","1983-10-24T00:00:00","",NA,NA,1983,10,24,"","","","",NA,NA,"","","",NA,"","NORTH_AMERICA","","","","US","Florida","Glades",NA,"Moorehaven, Joe's Camp, Harney Pond Canal on second spoil bank.","Received from USFWS Southeastern Manatee Salvage Program.  Original coord. - 26 58 0 N, 81 2 0 W.",4,NA,NA,NA,"","",27.0291,-81.0702,4828,NA,NA,"",NA,"",NA,NA,"","","","DeLorme 6.0","","",NA,NA,NA,"","","","","","","",NA,"","","","","",NA,NA,NA,"","","","",NA,"","","","",NA,NA,NA,NA,NA,NA,"Trichechus manatus Linnaeus, 1758",NA,NA,NA,"",NA,NA,"","Animalia","Chordata","Mammalia","Sirenia","Trichechidae","Trichechus",NA,"manatus","","SPECIES","","West Indian Manatee","","ACCEPTED",NA,"","ea9f5b0b-ad97-45ea-935a-ba2784c80cbb","US","2020-06-08T18:12:43.968Z",NA,NA,NA,NA,NA,NA,"","","true","false",2435296,2435296,1,44,359,802,9463,2435291,NA,2435296,"Trichechus manatus","Trichechus","Trichechus manatus Linnaeus, 1758","Trichechus manatus",NA,"DWC_ARCHIVE","2020-06-08T18:12:43.968Z","2020-05-28T23:19:48.270Z","false",NA,"",""
"1999",897160066,NA,"",NA,NA,NA,NA,NA,NA,"NCSM 5445 - North Carolina Museum of Natural Sciences Mammals Collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"986FB098-D075-4127-92F9-56C7F5BC2197",NA,NA,NA,NA,NA,NA,NA,NA,"EN","CC0_1_0",NA,NA,"2016-07-28T00:00:00Z",NA,NA,"http://collections.naturalsciences.org/specimenMammals.aspx?ID=5445",NA,NA,NA,"http://creativecommons.org/publicdomain/zero/1.0/","North Carolina Museum of Natural Sciences",NA,NA,NA,NA,NA,NA,"Physical Object",NA,"NCSM","","NCSM-MammalsDWC","NCSM","NCSM-Mammals","NCSM Mammals Collection","NCSM","PRESERVED_SPECIMEN","",NA,"","986FB098-D075-4127-92F9-56C7F5BC2197","5445","","",NA,NA,NA,"FEMALE","","",NA,"","","","In Collections","",NA,NA,"M-83-34","FMP Case #1163.  Badly decomposed when collected.  Necropsy data available in USFWS Manatee Salvage Program data sheet.","",NA,NA,NA,NA,"",NA,NA,NA,NA,"MAMM-5445","1983-08-24T00:00:00","",NA,NA,1983,8,24,"","","","",NA,NA,"","","",NA,"","NORTH_AMERICA","","","","US","Florida","Lee",NA,"Caloosahatchee River, downstream of I-75 bridge, E of Fort Myers at 357 North Morse Plaza East.","Received from USFWS Southeastern Manatee Salvage Program.",0,NA,NA,NA,"","",26.6944,-81.8125,805,NA,NA,"",NA,"",NA,NA,"","","","GPS","","",NA,NA,NA,"","","","","","","",NA,"","","","","",NA,NA,NA,"","","","",NA,"","","","",NA,NA,NA,NA,NA,NA,"Trichechus manatus Linnaeus, 1758",NA,NA,NA,"",NA,NA,"","Animalia","Chordata","Mammalia","Sirenia","Trichechidae","Trichechus",NA,"manatus","","SPECIES","","West Indian Manatee","","ACCEPTED",NA,"","ea9f5b0b-ad97-45ea-935a-ba2784c80cbb","US","2020-06-08T18:12:43.967Z",NA,NA,NA,NA,NA,NA,"","","true","false",2435296,2435296,1,44,359,802,9463,2435291,NA,2435296,"Trichechus manatus","Trichechus","Trichechus manatus Linnaeus, 1758","Trichechus manatus",NA,"DWC_ARCHIVE","2020-06-08T18:12:43.967Z","2020-05-28T23:19:48.270Z","false",NA,"",""
